"ygr","infl","intr"
-0.383986,-0.703749,2.080388
-0.451161,-0.827364,1.975008
1.334599,1.728981,0.992996
0.132078,1.832306,1.40382
-0.096398,1.389312,1.620109
0.654607,-1.070245,0.530214
2.009104,0.92611,1.099972
0.751044,2.683821,2.810078
-1.013122,0.392074,3.235097
1.499713,0.648828,2.30341
1.288892,2.377083,2.097109
0.99152,2.681097,2.813783
0.113431,1.904007,2.272302
0.374499,2.263135,2.937821
-1.443724,1.489409,3.601579
0.58822,1.909005,4.404957
0.212483,1.707391,4.176692
0.996713,0.141453,3.095744
0.983861,2.797363,3.635319
1.25886,1.600175,3.774802
1.450792,1.754937,2.944541
-0.256942,1.972899,3.288821
-0.427987,0.242233,4.325216
2.437885,0.689612,3.960458
1.180787,2.455725,4.87692
-0.119607,2.326518,5.79874
-0.392044,2.742399,6.549487
0.630113,3.587459,6.659954
0.029932,2.807119,6.369521
-1.199827,1.05161,6.516326
1.651204,2.833254,7.509639
1.735389,2.068472,6.074042
1.049633,4.963961,6.572185
-1.291536,1.343944,6.308223
1.417152,4.547756,5.998692
-0.355228,4.146843,7.111677
0.287552,2.455033,6.714025
1.77621,2.456011,5.340804
-1.28644,1.803431,4.448645
0.54262,2.045081,3.790211
0.291127,0.124197,2.634199
0.457051,1.098718,2.341799
0.298817,0.344,2.012446
1.161569,1.230946,1.471437
0.299244,1.58861,1.586417
1.711388,2.177796,3.157807
-1.204715,0.399858,1.746324
2.650231,1.471185,1.953201
0.356902,1.815968,0.94769
0.567028,2.362249,2.136162
-0.559598,1.112544,1.260516
1.122068,2.269593,1.287604
0.600227,1.903212,2.030836
0.412977,2.63686,2.593791
-1.433712,1.953305,2.862978
-0.17605,2.659717,4.010883
1.397474,3.495271,4.372895
0.211097,3.387253,5.232866
2.198792,0.041305,3.61347
1.499699,0.601063,2.044716
-0.199775,1.860915,3.791054
-0.624548,2.034866,6.307317
1.65778,5.009469,7.410188
0.237832,4.002649,7.113625
-0.103446,2.651589,6.191248
2.12405,3.408619,6.614133
-0.124818,2.313292,5.348519
1.242499,3.362392,4.860681
0.777752,3.625624,4.806794
-0.09329,2.662063,5.238184
-1.729302,0.235178,4.288458
0.923734,0.06178,3.751444
-0.134187,-0.427199,2.547536
1.199674,-0.129424,3.340102
2.096289,2.00966,3.715878
-0.978197,-0.56924,3.159225
2.045643,1.454186,3.133893
1.600309,3.062453,2.976931
-0.713096,1.628928,4.292882
0.224598,1.313326,2.676545
1.143282,3.430039,1.705279
0.054203,1.518308,2.768983
-0.961218,0.546495,1.12358
1.862003,-0.307238,1.569981
0.932224,1.136237,2.504033
0.139556,2.400976,2.393508
0.565139,1.966316,3.431065
0.476793,1.850451,4.408039
0.529103,1.847098,3.822427
-0.332378,2.521181,4.571941
0.250082,2.473875,4.784532
0.220435,2.417726,5.29374
-0.197815,1.811275,6.483633
1.895602,2.476516,4.982075
1.070438,4.016079,5.403624
-0.259812,0.738226,3.170224
1.045818,2.754475,2.841041
-1.014406,1.436073,2.977368
1.66649,1.020803,2.231556
-1.082954,1.166663,2.24331
1.00594,0.342955,2.334325
0.640894,-0.001238,1.120037
-0.6916,-0.723258,1.633262
